"Approach","JPE"
"Adult",1076.7522040512
"Adult",887.861332240627
"Adult",2303.43801216426
"Adult",3081.84381210209
"Adult",1099.6248916336
"Adult",3315.40248382534
"Adult",1250.08136954222
"Adult",1277.87745139732
"Adult",2469.65236293743
"Adult",4639.77235611935
"Adult",1718.26541936671
"Adult",309.259554004764
"Adult",7208.53502294567
"Adult",1953.34037647205
"Adult",628.361704136257
"Adult",10523.7634712887
"Adult",1813.4534044988
"Adult",2076.8497345983
"Adult",14916.9311126682
"Adult",9810.80600170029
"Adult",16004.0465020673
"Adult",617.027298375593
"Adult",15423.7781563223
"Adult",1897.35829844271
"Adult",2309.93360682031
"Adult",957.901528248889
"Adult",5395.03337456897
"Adult",2298.68179612517
"Adult",2665.81682087014
"Adult",5651.73478986123
"Adult",12056.6873269654
"Adult",16163.4667787394
"Adult",3559.11328142573
"Adult",5756.54366783648
"Adult",3890.88367431617
"Adult",8688.19255354937
"Adult",2907.21247456038
"Adult",4757.79534189701
"Adult",1245.79212296793
"Adult",18270.2130331252
"Adult",977.442993347624
"Adult",1839.18119014148
"Adult",1196.32836041686
"Adult",4722.98203017214
"Adult",5536.27331385347
"Adult",2520.14202348182
"Adult",3347.93607628649
"Adult",1519.34133159654
"Adult",2397.0471508578
"Adult",17912.2968332228
"Adult",5196.76439821479
"Adult",4729.8416930847
"Adult",4515.61026797431
"Adult",21407.1997336323
"Adult",14934.0851481504
"Adult",5897.30654434026
"Adult",2679.9998758655
"Adult",14613.6099051747
"Adult",14255.4986104596
"Adult",7340.66141812733
"Adult",1850.89372203442
"Adult",4169.06079828133
"Adult",1591.71446266285
"Adult",2796.63672904388
"Adult",2783.26379447365
"Adult",1056.876167148
"Adult",1972.54263805576
"Adult",1864.86634097921
"Adult",5419.98241863182
"Adult",5143.77293765929
"Adult",3227.31533644502
"Adult",5635.42075538004
"Adult",2093.72606991815
"Adult",2386.38089250957
"Adult",2298.1702415215
"Adult",2208.12313468247
"Adult",4318.07869123683
"Adult",1641.06425891366
"Adult",7961.22217318529
"Adult",1349.21370122513
"Adult",2327.27082490406
"Adult",18786.6713733971
"Adult",3780.30466322579
"Adult",3805.81145259166
"Adult",3203.24141111388
"Adult",9558.93616742783
"Adult",2512.20471183961
"Adult",5144.62736291776
"Adult",5268.49305119737
"Adult",4524.63608141572
"Adult",686.448713435546
"Adult",5281.05286625389
"Adult",3361.87665019159
"Adult",1495.05481064669
"Adult",5457.91875126106
"Adult",2352.69064422024
"Adult",1228.8019789115
"Adult",749.622216179639
"Adult",2354.52631198071
"Adult",7129.54054202907
"Adult",859.675459052739
"Adult",1977.52899050421
"Adult",3213.36142308254
"Adult",1946.35340762946
"Adult",7319.18719458634
"Adult",414.35579105601
"Adult",3571.28523543879
"Adult",2277.87264214109
"Adult",12115.8677103717
"Adult",2233.92976588773
"Adult",2008.99929082657
"Adult",51934.0815575331
"Adult",4641.81577773969
"Adult",2997.74373338697
"Adult",3552.37623918374
"Adult",7712.52288926144
"Adult",3775.16295097916
"Adult",31055.7608854853
"Adult",3751.98726160382
"Adult",3886.80314203622
"Adult",4712.17932002204
"Adult",2402.74305294763
"Adult",2986.30434368145
"Adult",3404.03142345989
"Adult",2064.55466895053
"Adult",5654.3424949019
"Adult",10275.4636861506
"Adult",13413.4176466351
"Adult",9693.14388541649
"Adult",794.891127305222
"Adult",713.032557746966
"Adult",8641.87784144161
"Adult",3342.0324506356
"Adult",6027.33324370587
"Adult",3186.15352861567
"Adult",2328.39902797791
"Adult",4738.23018339251
"Adult",5943.96790391988
"Adult",985.617719366869
"Adult",4849.18993981647
"Adult",769.457361834854
"Adult",4564.72100631978
"Adult",2639.26416841446
"Adult",4132.11402218557
"Adult",11847.1260473145
"Adult",1217.86785397219
"Adult",5064.08131672892
"Adult",1771.9730271935
"Adult",1054.0155016009
"Adult",5752.29138938998
"Adult",561.287963634789
"Adult",10686.0981802662
"Adult",3691.33943083769
"Adult",12881.0315762554
"Adult",42924.6021917598
"Adult",593.523105662824
"Adult",5341.03663915644
"Adult",3091.03869110313
"Adult",5584.79370856737
"Adult",4748.34723671766
"Adult",1104.85710537312
"Adult",4043.98636369205
"Adult",18357.463678206
"Adult",1573.91509470619
"Adult",316.426765655453
"Adult",8769.13752401854
"Adult",310.017895909333
"Adult",4758.01356591767
"Adult",6952.39197370022
"Adult",2475.2141263119
"Adult",2191.45229406988
"Adult",746.379836141073
"Adult",3201.9342179952
"Adult",4234.88727293445
"Adult",2867.57292151158
"Adult",8701.26338361935
"Adult",1445.62114579241
"Adult",5380.43566688922
"Adult",2645.58201823916
"Adult",1558.13239351496
"Adult",35724.9341544283
"Adult",10382.6884616581
"Adult",1738.46481315225
"Adult",1701.44765299146
"Adult",11133.1829778004
"Adult",836.549128889502
"Adult",3118.99300370138
"Adult",1221.39303686423
"Adult",8496.76954538191
"Adult",3033.847870237
"Adult",6105.71171190856
"Adult",718.092242940855
"Adult",5812.91438544675
"Adult",8008.73507283845
"Adult",3060.76459456727
"Adult",1236.56645313127
"Adult",1534.48120944874
"Adult",5529.44230213649
"Adult",1641.98541137844
"Adult",13467.5887293951
"Juvenile",5516.9281514604
"Juvenile",2767.42115043167
"Juvenile",5165.36817614464
"Juvenile",5133.37203204538
"Juvenile",3562.14607727276
"Juvenile",2262.93026198202
"Juvenile",5658.10616204347
"Juvenile",3619.32658952987
"Juvenile",3400.66268772863
"Juvenile",5994.5118025575
"Juvenile",9985.35739512422
"Juvenile",2825.42462730667
"Juvenile",2284.81502648166
"Juvenile",5493.07735756942
"Juvenile",2461.9937329176
"Juvenile",19696.2274147573
"Juvenile",2424.84082494272
"Juvenile",2679.03442144078
"Juvenile",3458.25057625207
"Juvenile",7047.37048735285
"Juvenile",5350.1425673627
"Juvenile",1401.98605433812
"Juvenile",3944.56078422421
"Juvenile",2623.04429724608
"Juvenile",6179.03957669135
"Juvenile",2104.43269025192
"Juvenile",2370.82566689573
"Juvenile",2949.60861050649
"Juvenile",9719.57632723908
"Juvenile",2013.28356099635
"Juvenile",5571.58976299169
"Juvenile",1442.07222707369
"Juvenile",6250.92233599474
"Juvenile",3909.2471380376
"Juvenile",2147.45110953833
"Juvenile",6016.4119139434
"Juvenile",6136.52074926812
"Juvenile",4682.33758392303
"Juvenile",4182.52940468108
"Juvenile",2723.75173974424
"Juvenile",4866.25002416099
"Juvenile",2667.9011837132
"Juvenile",2517.39332081142
"Juvenile",2656.55966048388
"Juvenile",3424.40560771497
"Juvenile",2569.86086604676
"Juvenile",1146.20629649336
