Age,Year,Count
1,2021,16
2,2021,17
3,2021,3
4,2021,0
5,2021,0
6,2021,0
1,2022,40
2,2022,31
3,2022,21
4,2022,5
5,2022,1
6,2022,1
1,2023,87
2,2023,99
3,2023,33
4,2023,8
5,2023,3
6,2023,0
